"Symbol","Synonym Symbol","Scientific Name with Author","Common Name","Family"
"ACLEL","","Achnatherum lemmonii (Vasey) Barkworth var. lemmonii","Lemmon's needlegrass","Poaceae"
"ACLEP","","Achnatherum lemmonii (Vasey) Barkworth var. pubescens (Crampton) Barkworth","pubescent Lemmon's needlegrass","Poaceae"
"ACLE9","","Achnatherum lettermanii (Vasey) Barkworth","Letterman's needlegrass","Poaceae"
"ACLO7","","Achnatherum lobatum (Swallen) Barkworth","littleawn needlegrass","Poaceae"
"ACNE9","","Achnatherum nelsonii (Scribn.) Barkworth","Columbia needlegrass","Poaceae"
"ACNED","","Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth","Dore's needlegrass","Poaceae"
"ACOCC","ACNEL2","Achnatherum nelsonii (Scribn.) Barkworth ssp. longiaristatum (Barkworth & Maze) Barkworth","","Poaceae"
"ACNEN2","","Achnatherum nelsonii (Scribn.) Barkworth ssp. nelsonii","Columbia needlegrass","Poaceae"
"ACNED","ACNED2","Achnatherum nelsonii (Scribn.) Barkworth var. dorei (Barkworth & Maze) Dorn","","Poaceae"
"ACNE10","","Achnatherum nevadense (B.L. Johnson) Barkworth","Nevada needlegrass","Poaceae"
"ACOC3","","Achnatherum occidentale (Thurb.) Barkworth","western needlegrass","Poaceae"
"ACOCC","","Achnatherum occidentale (Thurb.) Barkworth ssp. californicum (Merr. & Burtt Davy) Barkworth","California needlegrass","Poaceae"
"ACOCO","","Achnatherum occidentale (Thurb.) Barkworth ssp. occidentale","western needlegrass","Poaceae"
"ACOCP","","Achnatherum occidentale (Thurb.) Barkworth ssp. pubescens (Vasey) Barkworth","pubescent western needlegrass","Poaceae"
"ACHNA","","Achnatherum P. Beauv.","needlegrass","Poaceae"
"JAPL","ACPA12","Achnatherum papposum (Nees) Barkworth","","Poaceae"
"ACPA13","","Achnatherum parishii (Vasey) Barkworth","Parish's needlegrass","Poaceae"
"ACPAD","","Achnatherum parishii (Vasey) Barkworth var. depauperatum (M.E. Jones) Barkworth","little Parish's needlegrass","Poaceae"
"ACPAP","","Achnatherum parishii (Vasey) Barkworth var. parishii","Parish's needlegrass","Poaceae"
"ACPE12","","Achnatherum pekinense (Hance) Ohwi","NULL","Poaceae"
"ACPE13","","Achnatherum perplexum Hoge & Barkworth","New Mexico needlegrass","Poaceae"
"ACPI2","","Achnatherum pinetorum (M.E. Jones) Barkworth","pine needlegrass","Poaceae"
"ACRI8","","Achnatherum richardsonii (Link) Barkworth","Richardson's needlegrass","Poaceae"
"ACRO7","","Achnatherum robustum (Vasey) Barkworth","sleepygrass","Poaceae"
"ACSC11","","Achnatherum scribneri (Vasey) Barkworth","Scribner needlegrass","Poaceae"
"ACSP12","","Achnatherum speciosum (Trin. & Rupr.) Barkworth","desert needlegrass","Poaceae"
"ACSP8","","Achnatherum splendens (Trin.) Nevski","NULL","Poaceae"
"ACST7","","Achnatherum stillmanii (Bol.) Barkworth","Stillman's needlegrass","Poaceae"
"ACSW3","","Achnatherum swallenii (C.L. Hitchc. & Spellenb.) Barkworth","Swallen's needlegrass","Poaceae"
"ACTH7","","Achnatherum thurberianum (Piper) Barkworth","Thurber's needlegrass","Poaceae"
"ACWA4","","Achnatherum wallowaensis Maze & K.A. Robson","Wallowa needlegrass","Poaceae"
"ACWE3","","Achnatherum webberi (Thurb.) Barkworth","Webber needlegrass","Poaceae"
"ACHNE","","×Achnella Barkworth","ricegrass","Poaceae"
"ACCA32","","×Achnella caduca (Beal) Barkworth","Mandan ricegrass","Poaceae"
"MAJAE","ACEM3","Achras emarginata (L.) Little","","Sapotaceae"
"MAZA","ACMA8","Achras mammosa L., nom. illeg.","","Sapotaceae"
"MAZA","ACZA2","Achras zapota L.","","Sapotaceae"
"SMBOK","ACKO3","Achroschizocarpus kolianus Gombócz","","Brassicaceae"
"ACMO2","","Achyrachaena mollis Schauer","blow wives","Asteraceae"
"ACHYR","","Achyrachaena Schauer","blow wives","Asteraceae"
"CHAL10","ACAL4","Achyranthes altissima Jacq.","","Amaranthaceae"
"ACAS","","Achyranthes aspera L.","devil's horsewhip","Amaranthaceae"
"ACASA","","Achyranthes aspera L. var. aspera","devil's horsewhip","Amaranthaceae"
"ACASP","","Achyranthes aspera L. var. pubescens (Moq.) Townsend","devil's horsewhip","Amaranthaceae"
"ACAT","","Achyranthes atollensis H. St. John","Hawai'i chaff flower","Amaranthaceae"
"ALBE","ACBE3","Achyranthes bettzichiana (Regel) Standl.","","Amaranthaceae"
"ACBI9","","Achyranthes bidentata Blume [excluded]","NULL","Amaranthaceae"
"ALBR5","ACBR2","Achyranthes brasiliana (L.) Standl.","","Amaranthaceae"
"ACCA37","","Achyranthes canescens R. Br.","NULL","Amaranthaceae"
"ALBE","ACFIB","Achyranthes ficoidea (L.) Lam. ssp. bettzichiana (Regel) Baker","","Amaranthaceae"
"ALFI8","ACFI2","Achyranthes ficoidea auct. non (L.) Lam.","","Amaranthaceae"
"ACASA","ACIN4","Achyranthes indica (L.) Mill.","","Amaranthaceae"
"ACJA","","Achyranthes japonica (Miq.) Nakai","Japanese chaff flower","Amaranthaceae"
"ACJAH","","Achyranthes japonica (Miq.) Nakai var. hachijoensis Honda","Japanese chaff flower","Amaranthaceae"
"ACHYR2","","Achyranthes L.","chaff flower","Amaranthaceae"
"ALPU3","ACLE5","Achyranthes leiantha (Seub.) Standl.","","Amaranthaceae"
"ALMA10","ACMA6","Achyranthes maritima (Mart.) Standl.","","Amaranthaceae"
"ACMU2","","Achyranthes mutica A. Gray","blunt chaff flower","Amaranthaceae"
"ACMU2","ACNE3","Achyranthes nelsonii H. St. John","","Amaranthaceae"
"ALPAP","ACPA4","Achyranthes paronychioides auct. non (L.) Lam.","","Amaranthaceae"
"ALCA5","ACPE3","Achyranthes peploides (Humb. & Bonpl. ex Schult.) Britton & P. Wilson","","Amaranthaceae"
"ALPH","ACPH","Achyranthes philoxeroides (Mart.) Standl.","","Amaranthaceae"
"ALCR8","ACPO5","Achyranthes portoricensis (Kuntze) Standl.","","Amaranthaceae"
"CYPR10","ACPR2","Achyranthes prostrata L.","","Amaranthaceae"
"ALFL","ACRA2","Achyranthes ramosissima auct. non (Mart.) Standl.","","Amaranthaceae"
"ALPU3","ACRE5","Achyranthes repens L.","","Amaranthaceae"
"ALSE4","ACSE4","Achyranthes sessilis (L.) Desf. ex Steud.","","Amaranthaceae"
"ACSP3","","Achyranthes splendens Mart. ex Moq.","Maui chaff flower","Amaranthaceae"
"ACSPR2","ACSPR","Achyranthes splendens Mart. ex Moq. var. reflecta Hillebr.","","Amaranthaceae"
"ACSPR2","","Achyranthes splendens Mart. ex Moq. var. rotundata Hillebr.","Maui chaff flower","Amaranthaceae"
